Date,NO,NO2,PM10,PM2.5,CO2,TEMP,HUMI
2022-11-17,22.8348669305233,32.833333333333336,111.83333333333333,40.375,555.2916666666666,19.083333333333332,50.583333333333336
2022-11-18,24.605508564207884,37.698635549673,108.75,39.541666666666664,561.1381248782235,18.875,46.875
2022-11-19,16.75,42.708333333333336,87.58333333333333,32.208333333333336,561.5416666666666,18.458333333333332,44.625
2022-11-20,15.16743346526165,37.291666666666664,102.11633213716699,38.60670303505616,521.3333333333334,18.041666666666668,44.458333333333336
2022-11-21,31.147175230874552,33.625,110.79166666666667,38.36585151752808,556.5416666666666,17.958333333333332,48.0
2022-11-22,20.08448353122581,34.791666666666664,153.75,44.333333333333336,552.7083333333334,17.875,44.041666666666664
2022-11-23,36.042050065964155,42.958333333333336,157.83333333333334,51.041666666666664,594.7083333333334,18.083333333333332,48.75
2022-11-24,43.92088405893907,48.70331542613933,181.34983273525017,65.49085151752807,609.0,18.25,51.708333333333336
2022-11-25,47.50460079156991,49.767253192152,127.04166666666667,45.333333333333336,609.1666666666666,18.375,52.583333333333336
2022-11-26,47.50460079156991,49.767253192152,89.29166666666667,30.875,596.8333333333334,17.916666666666668,48.666666666666664
2022-11-27,47.50460079156991,49.767253192152,91.61633213716699,34.54673940344565,561.375,17.5,46.583333333333336
2022-11-28,47.50460079156991,49.767253192152,135.625,49.166666666666664,588.9583333333334,17.875,52.666666666666664
2022-11-29,47.50460079156991,49.767253192152,202.5,71.95833333333333,622.2916666666666,17.833333333333332,49.458333333333336
2022-11-30,47.50460079156991,49.767253192152,165.20833333333334,53.458333333333336,593.6666666666666,17.458333333333332,46.583333333333336
2022-12-01,47.50460079156991,49.767253192152,155.625,57.416666666666664,620.2083333333334,17.333333333333332,44.375
2022-12-02,42.12806719437993,42.636502128101334,141.97483273525017,51.291666666666664,583.7916666666666,16.916666666666668,42.416666666666664
2022-12-03,33.25,26.166666666666668,101.83333333333333,37.791666666666664,566.125,16.125,38.75
2022-12-04,24.104358366315413,25.458333333333332,106.125,41.5,527.0416666666666,15.833333333333334,37.916666666666664
2022-12-05,44.47935836631541,22.791666666666668,149.375,51.916666666666664,581.9583333333334,15.458333333333334,41.25
2022-12-06,58.958333333333336,24.583333333333332,215.16666666666666,62.666666666666664,600.9583333333334,15.5,45.208333333333336
2022-12-07,61.541666666666664,41.583333333333336,117.29166666666667,38.208333333333336,587.3333333333334,15.166666666666666,44.125
2022-12-08,37.958333333333336,44.458333333333336,84.66666666666667,28.125,570.75,14.916666666666666,42.25
2022-12-09,36.417433465261645,39.073635549673,143.25,50.208333333333336,583.4714582115568,14.916666666666666,40.75
2022-12-10,24.25038339929749,40.791666666666664,87.33333333333333,33.208333333333336,567.5833333333334,14.583333333333334,39.0
